Region,Profundidad_Pozo,Barriles_Diarios,Presion_Reservorio,Temperatura_Reservorio
Este,3352,172,3240,67
Sur,1370,791,3105,81
Oeste,1852,469,4182,141
Este,2931,1325,2872,88
Norte,3492,1692,1705,98
Oeste,3208,1408,1851,131
Sur,1628,141,4397,93
Oeste,3374,112,2135,144
Norte,1597,1735,3994,83
Norte,1592,1212,3178,85
Norte,2687,1771,3235,67
Norte,1572,1258,2698,87
Norte,3075,1278,3756,108
Este,3090,821,2498,58
Este,2704,1287,4435,122
Norte,3470,305,4275,121
Sur,1176,184,3259,100
Oeste,1528,1646,2644,84
Sur,1965,871,4144,54
Sur,2517,137,2702,63
Norte,1197,1909,2795,141
Norte,1852,1202,4173,88
Sur,2537,872,4034,133
Sur,3069,1076,3732,113
Este,1097,1827,2932,125
Oeste,2903,170,3235,115
Oeste,1636,1687,2109,71
Oeste,1587,1111,2499,80
Oeste,1343,1414,3099,72
Este,2317,1057,3158,97
Norte,2979,974,2972,69
Oeste,1570,694,3924,87
Norte,2727,909,2066,117
Este,3290,70,3258,128
Oeste,2854,291,3035,137
Sur,3079,670,1857,56
Este,3324,1669,3674,144
Este,1531,1668,2049,61
Oeste,2091,118,4148,91
Sur,2901,1202,1923,61
Este,3261,189,2043,115
Norte,2678,1517,3487,123
Sur,3260,795,2574,66
Sur,3126,1608,3482,117
Oeste,2749,1738,1779,120
Oeste,1781,1392,2802,144
Este,3105,101,2065,119
Este,3113,1822,3853,100
Oeste,2783,1384,3657,83
Norte,2991,593,4346,64
Oeste,2067,616,2471,127
Sur,2577,1937,3949,119
Sur,2011,1462,1941,99
Norte,3274,1621,2907,81
Norte,1773,671,1741,116
Oeste,2814,1435,2243,135
Oeste,2201,897,2255,100
Oeste,1306,1286,3099,142
Este,1475,596,3406,53
Sur,2320,1112,4388,59
Norte,3211,711,4395,137
Oeste,1484,474,2944,66
Norte,1558,1499,2893,132
Sur,2967,136,2901,118
Este,3285,514,3699,145
Sur,2233,520,2652,58
Este,3433,775,1599,70
Norte,1847,1358,2912,53
Sur,3434,1312,2292,73
Oeste,2898,1631,3163,89
Norte,3267,1992,2503,144
Este,2014,1118,3352,105
Sur,1612,1474,3054,138
Este,2915,1689,2657,126
Oeste,1687,646,3570,117
Este,1612,499,4419,95
Norte,3307,534,2461,127
Este,3413,695,3024,62
Norte,2781,669,4286,76
Norte,2810,1091,3476,55
Norte,2930,338,1746,130
Norte,1574,687,1537,101
Este,2910,284,1920,115
Este,2012,465,2077,101
Norte,1268,548,2490,92
Sur,2283,1023,3912,139
Este,1923,683,4235,71
Sur,2125,1723,3829,104
Sur,2529,1069,3381,116
Sur,2594,981,1797,109
Este,3178,1307,4010,137
Norte,3400,1613,1719,118
Oeste,3243,1084,2773,133
Este,2939,255,4485,88
Este,1929,1752,3547,62
Este,1226,1632,1684,106
Sur,1264,1200,1621,61
Oeste,2395,196,3039,62
Norte,2457,167,4288,123
Este,1645,1984,1946,146
Oeste,3258,1455,3405,106
Sur,2418,461,3665,89
Norte,2473,1737,1506,129
Norte,2387,412,4252,84
Norte,2899,1582,3623,52
Este,2249,1362,1505,60
Sur,2154,1554,4391,105
Oeste,1587,68,4158,59
Sur,1475,244,3264,83
Este,3203,1051,4349,80
Norte,2241,498,2872,124
Norte,2440,995,4056,115
Norte,1980,1427,2192,119
Sur,2715,190,1649,112
Este,3354,979,2519,106
Oeste,1337,288,4377,99
Norte,2337,254,1741,129
Este,2098,609,3010,74
Norte,3326,1506,1819,61
Oeste,1895,294,1672,120
Norte,3320,881,3560,88
Este,2674,344,2211,60
Oeste,1930,905,2539,72
Este,1288,1355,1912,140
Sur,1723,66,1643,119
Sur,3319,1342,1501,51
Norte,2953,1398,1729,135
Norte,2089,1867,2283,133
Norte,1935,1524,3118,128
Sur,3295,1080,3525,142
Oeste,1155,1387,4249,121
Este,2958,1176,3236,98
Este,1123,1647,1919,54
Este,3048,578,3339,67
Sur,1967,220,2969,87
Sur,1854,1610,1755,86
Sur,1639,300,2658,143
Oeste,3238,1838,2834,144
Norte,2602,1460,2306,113
Sur,1441,590,2869,128
Este,2829,843,2179,93
Oeste,3190,1453,1507,131
Norte,1532,1217,2436,136
Oeste,3274,74,3575,146
Norte,2336,1895,4426,65
Este,1948,717,1558,103
Este,1459,681,4258,147
Oeste,1550,1897,4102,77
Sur,1392,1906,3307,51
Este,1844,554,2552,62
Oeste,1645,474,1941,108
Norte,3266,548,4110,118
Oeste,2377,679,3589,94
Norte,1141,1486,2089,140
Norte,1500,708,3315,107
Norte,1839,1011,3269,76
Este,2682,1856,2553,56
Oeste,2565,948,4161,91
Este,3046,188,1692,96
Este,1595,991,2478,108
Norte,2904,591,3300,87
Sur,1423,1305,3430,136
Este,1269,484,2881,147
Norte,1153,433,3646,102
Norte,1661,1809,3437,75
Oeste,2967,1721,1581,97
Este,1082,583,4115,144
Este,2449,800,3645,113
Oeste,3331,1945,2124,103
Oeste,3220,1408,3654,88
Sur,2659,165,2380,52
Este,2398,874,2565,113
Oeste,2531,734,3080,60
Oeste,1786,131,2993,146
Sur,1397,382,2547,124
Sur,1933,384,1861,146
Este,2852,270,4494,88
Sur,1285,372,1843,140
Este,1264,1924,2782,85
Norte,3367,52,2564,124
Este,3136,1905,2725,112
Oeste,2677,89,4188,148
Este,1820,1000,1769,80
Oeste,2762,623,2715,77
Norte,3381,693,2510,50
Norte,1067,892,3306,116
Este,1987,1195,2158,112
Norte,2799,1552,2706,100
Este,2621,145,2771,131
Este,2278,1487,2444,123
Sur,1694,1308,2209,118
Oeste,2693,954,1579,110
Norte,3315,397,1890,80
Norte,2058,720,1721,59
Sur,1778,1197,4267,125
Oeste,1493,1555,1880,85
Sur,2585,366,2121,134
Norte,2492,1577,3652,98
Sur,2790,768,3007,119
Norte,1660,1121,3069,98
Oeste,2348,1482,2473,52
Este,2327,1209,4243,123
Sur,2986,299,3181,139
Sur,3044,363,2449,110
Oeste,2928,1942,4096,134
Oeste,2347,1441,3550,139
Norte,2058,1502,4256,75
Sur,1976,1903,4156,121
Sur,1481,856,2590,54
Oeste,1727,1553,2786,64
Sur,2031,1573,2886,50
Oeste,2447,1428,2702,86
Oeste,3379,534,2435,52
Norte,1526,1614,2654,62
Oeste,3073,1165,1953,70
Norte,1405,269,3463,76
Sur,2573,1515,3244,107
Sur,2811,450,2577,111
Este,1504,1473,4124,95
Sur,2846,948,2353,121
Sur,2478,1862,4322,57
Este,2429,539,1924,70
Norte,3123,1558,3170,121
Este,1578,1830,2902,112
Sur,2515,1647,2362,113
Oeste,1193,987,1777,69
Norte,3007,893,3395,57
Oeste,3394,1518,4022,95
Sur,2792,103,2419,58
Norte,2110,577,3670,64
Norte,3261,1593,4365,143
Norte,2936,665,1588,75
Sur,1779,1898,4218,78
Oeste,1261,1113,4138,129
Este,1729,1310,1903,85
Norte,1282,1004,3567,133
Sur,2490,435,3169,86
Este,3140,765,2923,72
Norte,2644,699,2714,90
Este,2447,1280,1556,77
Oeste,1141,1409,2159,97
Oeste,2455,1803,4087,80
Norte,2875,1251,4266,146
Este,2712,420,3056,140
Norte,1700,840,3381,126
Norte,1997,707,4404,139
Sur,3096,1391,2016,78
Norte,2325,785,3374,100
Oeste,1880,1442,3062,98
Sur,2213,433,1838,92
Sur,2159,111,2637,141
Oeste,1403,554,4496,121
Sur,1891,288,2813,136
Sur,1601,727,3160,54
Este,2830,1295,3020,91
Norte,1340,110,2451,56
Este,2968,1202,3048,91
Norte,1703,1039,3313,85
Oeste,1317,734,2514,76
Sur,2386,1990,2645,95
Norte,3429,1451,2735,115
Norte,3280,1695,3999,74
Este,2800,1854,4440,122
Este,2572,917,3059,50
Oeste,1816,952,4416,136
Norte,1855,1659,2723,91
Este,2812,1048,2689,101
Oeste,1182,1024,2391,103
Sur,1396,437,3984,55
Oeste,1906,887,3218,115
Sur,3174,1942,3030,131
Norte,1000,389,4012,136
Oeste,1018,253,2450,51
Norte,1583,210,4096,125
Sur,1455,1613,2553,71
Oeste,3036,441,4261,86
Este,2132,818,2164,69
Este,2952,624,2869,133
Oeste,3150,1143,3705,114
Este,1987,942,4386,130
Sur,1858,657,2342,143
Este,1173,1748,2464,52
Norte,2366,1664,4163,95
Este,3478,1590,3226,104
Sur,1726,877,2079,124
Norte,2710,1193,2178,137
Sur,2875,1887,2695,135
Norte,2681,1761,3184,94
Norte,2347,951,3279,75
Norte,1989,1290,4039,126
Norte,1419,415,3779,73
Norte,1593,1772,3528,123
Norte,2774,1817,1813,73
Este,3459,1840,2272,77
Oeste,1935,1998,1993,149
Sur,2107,504,3031,129
Este,1331,126,3969,108
Este,3088,1987,2541,103
Sur,2793,1331,2999,128
Norte,1958,1337,2815,65
Este,3497,942,3653,60
Sur,2842,1841,3476,114
Sur,2866,1623,4340,128
Norte,1209,1725,2141,118
Oeste,1562,348,1849,148
Este,2563,848,3897,59
Norte,1770,1164,2089,124
Sur,1628,507,4441,90
Este,2701,414,2854,136
Norte,1386,908,1587,120
